FSC,NIIN,Nomenclature,part_number,cage_code,UI,Unit_Price,dss_weight,dss_cube,unit_pack_weight,unit_pack_cube,Imputed
2530,016591832,"WHEEL,PNEUMATIC TIR",12601047,"75Q65, 19207",EA,3327,336.4,26.099,336.4,26.099,No
2530,016764690,"CALIPER ASSEMBLY,DI","12609762, 12629480, 00-41000, 00-35542","19207, 75Q65, 22075",EA,2006.09,57.46,0.926,57.46,0.926,No
2590,016713355,"MANIFOLD ASSEMBLY,H","23149526, 8493299, 84932999, 23149524, 12608794","24617, 19207, 75Q65",EA,203.1,3,0.25,3,0.25,No
2910,015081913,"FILTER ELEMENT,FLUI","4119971, 10314249, 5001872645, 21037113, 70-10-525, 22811-2, 29539579, 83357183000, 165308","75Q65, A486G, F6573, 7041B, A242N, U4542, ST237, 5ABR1, 73342, A00AM",EA,10.4,0.833,0.021,0.833,0.021,No
2910,016728061,"PUMP,FUEL,ELECTRICA","0580464086, 5M0B020136, B020136, 12605986","F3742, 75Q65, 53867, F0016, 19207",EA,165.74,1.48,0.055,1.48,0.055,No
2920,016682224,"STARTER,ENGINE,ELEC","12602027, 8200810","75Q65, 19207, 077S2",EA,241.43,19.72,0.85,19.72,0.85,No
3030,016695006,"BELT,V","12605800, 21-3067, 2734K8OSHK","20796, 75Q65, 0AKY3, 19207, SHZE0",EA,63.45,1,0.047,1,0.047,No
3030,016774916,"BELT,V","21-2937, 21-3047, 12602142","75Q65, 20796, 19207, 0AKY3",EA,83.47,1.08,0.19,1.08,0.19,No
3030,016775658,"BELT,V","21-2938, 12602143, 21-3046","20796, 19207, 75Q65, 0AKY3",EA,91.56,1.2,0.052,1.2,0.052,No
4330,016770313,"FILTER,FLUID","FS0058, FS141, 125-581, 12602200","63632, 71425, 06504, 19207, 75Q65",EA,41.74,0.1,0.017,0.1,0.017,No
5330,016919886,GASKET,"12613038 REV A, C43467, 12613038","40501, 19207",EA,47.02,0.3,0.017,0.3,0.017,No
